plu,nombre,marca,categoria,precio_actual,precio_regular,precio_sin_imp,precio_x_unidad,fecha,cat_principal
460804,Vino DON ALFREDO Malbec Single Vineyard 750 Ml,Don Alfredo,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,25001.25,37500.0,30991.74,50000.0,20260219,Bebidas Con Alcohol
460803,Vino DON ALFREDO Cabernet Sauvignon Malbec Assemblage 750 Ml,Don Alfredo,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,10000.5,15000.0,12396.69,20000.0,20260219,Bebidas Con Alcohol
164527,Cerveza Lager STELLA ARTOIS   Botella 975 Cc,Stella Artois,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,3900.0,6000.0,4958.68,6153.84,20260219,Bebidas Con Alcohol
478424,Cerveza  Stella Artois  Pack Latas 473 CC 6 Unidades,Stella Artois,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,13650.0,21000.0,17355.37,7399.57,20260219,Bebidas Con Alcohol
230474,Cerveza Lager STELLA ARTOIS   Lata 473 Cc,Stella Artois,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,2275.0,3500.0,2892.56,7399.57,20260219,Bebidas Con Alcohol
6300,Sidra Etiqueta Negra REAL 720c,Real,Sidras Y Bebidas Fizz > Sidras > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,5024.25,6699.0,5536.36,9304.16,20260219,Bebidas Con Alcohol
8750,Anana Fizz REAL 720c,Real,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,4274.25,5699.0,4709.92,7598.66,20260219,Bebidas Con Alcohol
479243,Sidra REAL 750ml,Real,Sin Tacc > Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,3674.25,4899.0,4048.76,6532.0,20260219,Bebidas Con Alcohol
189589,Cerveza  CORONA   Botella 710 Cc,Corona,Cervezas Con Alcohol > Cervezas > Cerveza > CERVEZA > Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL,4160.0,6400.0,5289.26,9014.08,20260219,Bebidas Con Alcohol
9696,Cerveza  CORONA   Porron 330 Cc,Corona,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,2535.0,3900.0,3223.14,11818.18,20260219,Bebidas Con Alcohol
41773,Aperitivo Campari Botella 750 CC,Campari,Bebidas Con Alcohol > Bebidas > Aperitivos > Aperitivo Bitter,8579.35,13199.0,10908.26,17598.66,20260219,Bebidas Con Alcohol
245789,Cerveza Lager SCHNEIDER   Botella 1 L,Schneider,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,2887.5,3850.0,3181.82,3850.0,20260219,Bebidas Con Alcohol
141258,Cerveza Lager SCHNEIDER   Lata 473 Cc,Schneider,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,1612.5,2150.0,1776.86,4545.45,20260219,Bebidas Con Alcohol
245565,Cerveza  WARSTEINER   Botella 1 L,Warsteiner,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,3477.5,5350.0,4421.49,5350.0,20260219,Bebidas Con Alcohol
284963,Cerveza Pilsener WARSTEINER   Lata 473 Cc,Warsteiner,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,1859.0,2860.0,2363.64,6046.51,20260219,Bebidas Con Alcohol
14108,Sidra Brio 1888 SAENZ 750c,Saenz,Sidras Y Bebidas Fizz > Sidras > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,7845.0,10460.0,8644.63,13946.66,20260219,Bebidas Con Alcohol
243840,Cerveza  MILLER   Botella 1 L,Miller,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,4012.5,5350.0,4421.49,5350.0,20260219,Bebidas Con Alcohol
250948,Cerveza Porrón Miller Bot 600 Cmq,Miller,Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,3487.5,4650.0,3842.98,7750.0,20260219,Bebidas Con Alcohol
243921,Espumante Rosé Dulce NORTON Cosecha Tardía 750ml,Norton,Espumantes > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,5828.96,8743.0,7225.62,11657.33,20260219,Bebidas Con Alcohol
